2008.5696   44.477
2008.5968   40.843
2008.6239   40.070
2008.6511   39.168
2008.6782   41.867
2008.7054   41.686
2008.7325   43.506
2008.7597   41.808
2008.7868   39.586
2008.8140   41.148
2008.8411   42.979
2008.8683   45.941
2008.8954   43.667
2008.9226   45.215
2008.9497   40.771
2008.9769   40.129
2009.0040   41.363
2009.0311   45.116
2009.0583   46.833
2009.0854   40.053
2009.1126   37.143
2009.1397   43.454
2009.1669   46.973
2009.1940   48.082
2009.2212   47.958
2009.2483   44.330
2009.2755   41.837
2009.3026   43.478
2009.3298   47.192
2009.3569   50.685
2009.3841   44.894
2009.4112   40.330
2009.4384   42.898
2009.4655   45.083
2009.4927   45.668
2009.5198   44.667
2009.5470   45.356
2009.5741   47.516
2009.6013   42.139
2009.6284   43.291
2009.6556   49.089
2009.6827   50.539
2009.7099   50.868
2009.7370   47.346
2009.7642   45.520
2009.7913   47.617
2009.8184   52.256
2009.8456   54.461
2009.8727   48.899
2009.8999   47.552
2009.9270   45.383
2009.9542   47.693
2009.9813   53.198
2010.0085   49.633
2010.0356   46.815
2010.0628   44.424
2010.0899   41.069
2010.1171   47.891
2010.1442   54.134
2010.1714   55.761
2010.1985   46.939
2010.2257   44.550
2010.2528   45.146
2010.2800   49.033
2010.3071   51.209
2010.3343   52.449
2010.3614   47.635
2010.3886   47.861
2010.4157   47.014
2010.4429   51.541
2010.4700   54.384
2010.4971   53.415
2010.5243   48.031
2010.5514   47.746
2010.5786   47.189
2010.6057   45.584
2010.6329   51.842
2010.6600   45.675
2010.6872   43.656
2010.7143   42.090
2010.7415   41.246
2010.7686   43.309
2010.7958   50.094
2010.8229   48.479
2010.8501   44.197
2010.8772   41.533
2010.9044   39.340
2010.9315   45.377
2010.9587   46.595
2010.9858   46.302
2011.0130   43.668
2011.0401   41.001
2011.0673   40.365
2011.0944   44.769
2011.1216   47.340
2011.1487   47.344
2011.1759   41.610
2011.2030   38.833
2011.2301   39.664
2011.2573   44.319
2011.2844   45.470
2011.3116   45.255
2011.3387   39.811
2011.3659   41.541
2011.3930   43.133
2011.4202   45.669
2011.4473   50.508
2011.4745   50.745
2011.5016   45.193
2011.5288   44.620
2011.5559   46.059
2011.5831   48.345
2011.6102   54.583
2011.6374   51.605
2011.6645   48.254
2011.6917   46.671
2011.7188   46.279
2011.7460   48.894
2011.7731   53.527
2011.8003   53.740
2011.8274   46.735
2011.8546   43.786
2011.8817   44.328
2011.9089   52.833
2011.9360   53.216
2011.9631   49.506
2011.9903   48.990
2012.0174   52.284
2012.0446   52.952
2012.0717   57.783
2012.0989   56.902
2012.1260   55.735
2012.1532   51.571
2012.1803   47.752
2012.2075   52.520
2012.2346   58.601
2012.2618   55.407
2012.2889   53.637
2012.3161   51.920
2012.3432   51.334
2012.3704   55.210
2012.3975   55.770
2012.4247   57.389
2012.4518   59.998
2012.4790   53.624
2012.5061   54.729
2012.5333   61.523
2012.5604   64.057
2012.5876   62.208
2012.6147   60.125
2012.6419   52.498
2012.6690   56.503
2012.6961   57.844
2012.7233   64.701
2012.7504   63.296
2012.7776   60.144
2012.8047   56.370
2012.8319   57.444
2012.8590   59.238
2012.8862   62.941
2012.9133   63.630
2012.9405   61.742
2012.9676   58.539
2012.9948   61.823
2013.0219   62.003
2013.0491   64.464
2013.0762   64.145
2013.1034   61.333
2013.1305   58.325
2013.1577   58.023
2013.1848   63.886
2013.2120   66.519
2013.2663   59.062
2013.2934   55.268
2013.3206   57.912
2013.3477   61.521
2013.3749   61.056
2013.4020   58.772
2013.4291   57.650
2013.4563   54.832
2013.4834   58.075
2013.5106   60.011
2013.5377   61.398
2013.5649   62.448
2013.5920   59.237
2013.6192   52.177
2013.6463   55.396
2013.6735   60.068
2013.7278   60.211
2013.7549   55.271
2013.7821   54.596
2013.8092   61.258
2013.8364   61.421
2013.8635   62.356
2013.8907   63.373
2013.9178   60.106
2013.9450   54.929
