    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  4004.599                   4004.882                   4004.926
                  4004.689                   4004.153                   4003.323
                  4002.222                   4000.889                   3999.379
                  3997.754                   3996.092                   3994.475
                  3992.978                   3991.674                   3990.614
                  3989.831                   3989.336                   3989.126
                  3989.182                   3989.475                   3989.967
                  3990.615                   3991.372                   3992.197
                  3993.059                   3993.935                   3994.810
                  3995.667                   3996.486                   3997.239
                  3997.900                   3998.455                   3998.898
                  3999.242                   3999.501                   3999.672
                  3999.731                   3999.632                   3999.335
                  3998.816                   3998.095                   3997.230
                  3996.309                   3995.434                   3994.694
                  3994.153                   3993.828                   3993.700
                  3993.718                   3993.821                   3993.949
                  3994.058                   3994.127                   3994.152
                  3994.141                   3994.110                   3994.076
                  3994.047                   3994.020                   3993.971
                  3993.869                   3993.680                   3993.392
                  3993.027                   3992.641                   3992.316
                  3992.138                   3992.187                   3992.517
                  3993.150                   3994.065                   3995.195
                  3996.431                   3997.650                   3998.745
                  3999.662                   4000.410                   4001.064
                  4001.721                   4002.469                   4003.352
                  4004.364                   4005.448                   4006.521
                  4007.494                   4008.293                   4008.858
                  4009.157                   4009.175                   4008.917
                  4008.397                   4007.642                   4006.682
                  4005.554                   4004.300                   4002.970
                  4001.615                   4000.290                   3999.042
                  3997.901                   3996.880                   3995.975
                  3995.181                   3994.490                   3993.894
                  3993.386                   3992.950                   3992.573
                  3992.229                   3991.900                   3991.573
                  3991.248                   3990.931                   3990.644
                  3990.411                   3990.269                   3990.260
                  3990.419                   3990.768                   3991.303
                  3991.998                   3992.810                   3993.684
                  3994.563                   3995.388                   3996.117
                  3996.728                   3997.228                   3997.651
                  3998.040                   3998.424                   3998.808
                  3999.162                   3999.435                   3999.581
                  3999.573                   3999.406                   3999.112
                  3998.733                   3998.321                   3997.925
                  3997.591                   3997.357                   3997.259
                  3997.316                   3997.537                   3997.918
                  3998.435                   3999.048                   3999.698
                  4000.310                   4000.806                   4001.117
                  4001.190                   4001.006                   4000.575
                  3999.934                   3999.145                   3998.274
                  3997.389                   3996.546                   3995.789
                  3995.147                   3994.636                   3994.271
                  3994.068                   3994.045                   3994.227
                  3994.622                   3995.217                   3995.966
                  3996.794                   3997.613                   3998.336
                  3998.899                   3999.264                   3999.425
                  3999.402                   3999.233                   3998.966
                  3998.647                   3998.313                   3997.994
                  3997.707                   3997.461                   3997.265
                  3997.126                   3997.054                   3997.063
                  3997.167                   3997.382                   3997.722
                  3998.198                   3998.818                   3999.574
                  4000.445                   4001.388                   4002.343
                  4003.238                   4004.000                   4004.568
                  4004.900                   4004.974                   4004.792
                  4004.368                   4003.733                   4002.922
                  4001.977                   4000.942                   3999.860
                  3998.776                   3997.728                   3996.751
                  3995.871                   3995.102                   3994.450
                  3993.898                   3993.422                   3992.986
                  3992.552                   3992.086                   3991.571
                  3991.000                   3990.388                   3989.759
                  3989.149                   3988.597                   3988.145
                  3987.845                   3987.757                   3987.952
                  3988.496                   3989.435                   3990.784
                  3992.508                   3994.519                   3996.684
                  3998.844                   4000.836                   4002.523
                  4003.816                   4004.678                   4005.127
                  4005.217                   4005.028                   4004.649
                  4004.165                   4003.654                   4003.178
                  4002.782                   4002.487                   4002.293
                  4002.181                   4002.117                   4002.062
                  4001.980                   4001.840                   4001.623
                  4001.321                   4000.933                   4000.466
                  3999.941                   3999.382                   3998.825
                  3998.304                   3997.846                   3997.467
                  3997.168                   3996.939                   3996.755
                  3996.594                   3996.434                   3996.259
                  3996.065                   3995.855                   3995.646
                  3995.465                   3995.344                   3995.326
                  3995.449                   3995.743                   3996.223
                  3996.878                   3997.673                   3998.544
                  3999.407                   4000.168                   4000.740
                  4001.058                   4001.091                   4000.854
                  4000.410                   3999.855                   3999.297
                  3998.834                   3998.528                   3998.397
                  3998.418                   3998.533                   3998.670
                  3998.753                   3998.719                   3998.526
                  3998.170                   3997.680                   3997.117
                  3996.558                   3996.081                   3995.745
                  3995.588                   3995.622                   3995.838
                  3996.207                   3996.683                   3997.215
                  3997.747                   3998.227                   3998.610
                  3998.865                   3998.973                   3998.929
                  3998.744                   3998.442                   3998.060
                  3997.639                   3997.222                   3996.850
                  3996.556                   3996.368                   3996.303
                  3996.368                   3996.552                   3996.827
                  3997.149                   3997.465                   3997.722
                  3997.885                   3997.941                   3997.896
                  3997.759                   3997.538                   3997.235
                  3996.855                   3996.412                   3995.928
                  3995.437                   3994.983                   3994.621
                  3994.409                   3994.409                   3994.673
                  3995.221                   3996.039                   3997.073
                  3998.243                   3999.460                   4000.637
                  4001.701                   4002.597                   4003.295
                  4003.783                   4004.072                   4004.185
                  4004.150                   4003.997                   4003.750
                  4003.429                   4003.050                   4002.627
                  4002.179                   4001.719                   4001.262
                  4000.814                   4000.373                   3999.934
                  3999.490                   3999.041                   3998.595
                  3998.168                   3997.778                   3997.443
                  3997.175                   3996.983                   3996.870
                  3996.834                   3996.865                   3996.949
                  3997.061                   3997.168                   3997.236
                  3997.237                   3997.152                   3996.973
                  3996.711                   3996.389                   3996.043
                  3995.715                   3995.453                   3995.298
                  3995.276                   3995.394                   3995.632
                  3995.956                   3996.323                   3996.697
                  3997.056                   3997.397                   3997.721
                  3998.036                   3998.346                   3998.641
                  3998.909                   3999.131                   3999.292
                  3999.384                   3999.412                   3999.390
                  3999.342                   3999.299                   3999.290
                  3999.331                   3999.422                   3999.542
                  3999.652                   3999.704                   3999.654
                  3999.466                   3999.130                   3998.659
                  3998.095                   3997.495                   3996.928
                  3996.459                   3996.139                   3996.004
                  3996.059                   3996.282                   3996.629
                  3997.041                   3997.458                   3997.838
                  3998.154                   3998.406                   3998.611
                  3998.799                   3998.997                   3999.231
                  3999.513                   3999.844                   4000.212
                  4000.599                   4000.974                   4001.304
                  4001.551                   4001.678                   4001.653
                  4001.459                   4001.093                   4000.571
                  3999.922                   3999.188                   3998.419
                  3997.670                   3996.998                   3996.453
                  3996.073                   3995.880                   3995.874
                  3996.036                   3996.333                   3996.723
                  3997.168                   3997.636                   3998.108
                  3998.570                   3999.014                   3999.427
                  3999.789                   4000.073                   4000.249
                  4000.294                   4000.195                   3999.956
                  3999.601                   3999.164                   3998.687
                  3998.212                   3997.780                   3997.427
                  3997.178                   3997.052                   3997.049
                  3997.162                   3997.376                   3997.670
                  3998.025                   3998.424                   3998.850
                  3999.291                   3999.733                   4000.166
                  4000.573                   4000.932                   4001.214
                  4001.386                   4001.418                   4001.290
                  4000.994                   4000.544                   3999.969
                  3999.312                   3998.619                   3997.934
                  3997.289                   3996.702                   3996.178
                  3995.712                   3995.300                   3994.940
                  3994.637                   3994.400                   3994.243
                  3994.173                   3994.194                   3994.299
                  3994.476                   3994.703                   3994.960
                  3995.227                   3995.488                   3995.739
                  3995.977                   3996.212                   3996.464
                  3996.759                   3997.128                   3997.593
                  3998.165                   3998.829                   3999.555
                  4000.295                   4001.003                   4001.634
                  4002.159                   4002.564                   4002.848
                  4003.024                   4003.114                   4003.138
