    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  3999.524                   3999.381                   3999.227
                  3999.078                   3998.951                   3998.861
                  3998.816                   3998.820                   3998.866
                  3998.944                   3999.041                   3999.143
                  3999.235                   3999.309                   3999.357
                  3999.375                   3999.362                   3999.318
                  3999.245                   3999.148                   3999.033
                  3998.910                   3998.791                   3998.689
                  3998.617                   3998.587                   3998.608
                  3998.686                   3998.821                   3999.009
                  3999.238                   3999.492                   3999.750
                  3999.989                   4000.189                   4000.333
                  4000.411                   4000.421                   4000.370
                  4000.272                   4000.144                   4000.005
                  3999.868                   3999.743                   3999.632
                  3999.537                   3999.456                   3999.392
                  3999.344                   3999.316                   3999.311
                  3999.333                   3999.382                   3999.455
                  3999.547                   3999.650                   3999.758
                  3999.861                   3999.956                   4000.038
                  4000.106                   4000.157                   4000.188
                  4000.196                   4000.176                   4000.127
                  4000.051                   3999.955                   3999.849
                  3999.743                   3999.645                   3999.560
                  3999.490                   3999.436                   3999.399
                  3999.379                   3999.377                   3999.389
                  3999.414                   3999.445                   3999.481
                  3999.516                   3999.546                   3999.568
                  3999.580                   3999.581                   3999.571
                  3999.555                   3999.534                   3999.512
                  3999.490                   3999.467                   3999.441
                  3999.410                   3999.369                   3999.319
                  3999.256                   3999.181                   3999.093
                  3998.992                   3998.878                   3998.752
                  3998.618                   3998.483                   3998.358
                  3998.256                   3998.191                   3998.172
                  3998.205                   3998.288                   3998.412
                  3998.565                   3998.736                   3998.911
                  3999.083                   3999.243                   3999.388
                  3999.514                   3999.618                   3999.700
                  3999.760                   3999.798                   3999.816
                  3999.812                   3999.785                   3999.733
                  3999.653                   3999.552                   3999.440
                  3999.337                   3999.264                   3999.244
                  3999.291                   3999.413                   3999.601
                  3999.842                   4000.111                   4000.381
                  4000.628                   4000.828                   4000.971
                  4001.049                   4001.068                   4001.033
                  4000.955                   4000.844                   4000.712
                  4000.567                   4000.421                   4000.284
                  4000.168                   4000.079                   4000.023
                  4000.000                   4000.001                   4000.017
                  4000.031                   4000.026                   3999.987
                  3999.905                   3999.777                   3999.605
                  3999.402                   3999.182                   3998.962
                  3998.758                   3998.585                   3998.453
                  3998.365                   3998.321                   3998.319
                  3998.351                   3998.412                   3998.494
                  3998.592                   3998.702                   3998.820
                  3998.943                   3999.063                   3999.175
                  3999.268                   3999.333                   3999.360
                  3999.344                   3999.282                   3999.180
                  3999.045                   3998.890                   3998.729
                  3998.579                   3998.460                   3998.393
                  3998.398                   3998.487                   3998.663
                  3998.916                   3999.223                   3999.551
                  3999.863                   4000.124                   4000.311
                  4000.414                   4000.436                   4000.391
                  4000.299                   4000.179                   4000.052
                  3999.935                   3999.851                   3999.814
                  3999.837                   3999.916                   4000.037
                  4000.178                   4000.312                   4000.419
                  4000.483                   4000.495                   4000.455
                  4000.369                   4000.249                   4000.109
                  3999.969                   3999.847                   3999.760
                  3999.717                   3999.714                   3999.745
                  3999.789                   3999.826                   3999.834
                  3999.796                   3999.705                   3999.567
                  3999.401                   3999.236                   3999.099
                  3999.015                   3998.993                   3999.028
                  3999.106                   3999.207                   3999.312
                  3999.405                   3999.476                   3999.518
                  3999.530                   3999.512                   3999.471
                  3999.415                   3999.357                   3999.308
                  3999.277                   3999.268                   3999.279
                  3999.304                   3999.333                   3999.353
                  3999.356                   3999.333                   3999.282
                  3999.203                   3999.103                   3998.993
                  3998.888                   3998.804                   3998.754
                  3998.748                   3998.789                   3998.871
                  3998.986                   3999.118                   3999.252
                  3999.373                   3999.471                   3999.538
                  3999.569                   3999.565                   3999.529
                  3999.473                   3999.410                   3999.353
                  3999.310                   3999.285                   3999.280
                  3999.291                   3999.317                   3999.355
                  3999.402                   3999.457                   3999.519
                  3999.595                   3999.692                   3999.819
                  3999.985                   4000.186                   4000.418
                  4000.664                   4000.907                   4001.123
                  4001.290                   4001.385                   4001.392
                  4001.299                   4001.107                   4000.824
                  4000.470                   4000.069                   3999.651
                  3999.246                   3998.882                   3998.582
                  3998.360                   3998.227                   3998.183
                  3998.221                   3998.330                   3998.492
                  3998.687                   3998.894                   3999.094
                  3999.272                   3999.418                   3999.529
                  3999.603                   3999.643                   3999.653
                  3999.636                   3999.600                   3999.554
                  3999.507                   3999.467                   3999.442
                  3999.437                   3999.453                   3999.491
                  3999.547                   3999.617                   3999.694
                  3999.768                   3999.831                   3999.874
                  3999.893                   3999.887                   3999.858
                  3999.813                   3999.758                   3999.703
                  3999.653                   3999.614                   3999.587
                  3999.571                   3999.561                   3999.549
                  3999.524                   3999.481                   3999.416
                  3999.334                   3999.243                   3999.157
                  3999.087                   3999.045                   3999.035
                  3999.059                   3999.114                   3999.192
                  3999.285                   3999.385                   3999.483
                  3999.575                   3999.654                   3999.719
                  3999.767                   3999.799                   3999.818
                  3999.827                   3999.830                   3999.829
                  3999.828                   3999.827                   3999.827
                  3999.824                   3999.817                   3999.805
                  3999.781                   3999.745                   3999.694
                  3999.630                   3999.555                   3999.474
                  3999.387                   3999.295                   3999.197
                  3999.092                   3998.986                   3998.883
                  3998.793                   3998.723                   3998.680
                  3998.665                   3998.680                   3998.725
                  3998.802                   3998.915                   3999.068
                  3999.270                   3999.521                   3999.821
                  4000.161                   4000.524                   4000.888
                  4001.229                   4001.524                   4001.753
                  4001.901                   4001.958                   4001.919
                  4001.786                   4001.563                   4001.262
                  4000.898                   4000.489                   4000.056
                  3999.620                   3999.204                   3998.827
                  3998.506                   3998.254                   3998.080
                  3997.984                   3997.964                   3998.011
                  3998.113                   3998.255                   3998.422
                  3998.598                   3998.767                   3998.916
                  3999.031                   3999.103                   3999.129
                  3999.111                   3999.055                   3998.972
                  3998.875                   3998.777                   3998.692
                  3998.633                   3998.612                   3998.636
                  3998.711                   3998.837                   3999.008
                  3999.218                   3999.452                   3999.698
                  3999.940                   4000.161                   4000.346
                  4000.481                   4000.555                   4000.561
                  4000.501                   4000.377                   4000.200
                  3999.981                   3999.736                   3999.482
                  3999.239                   3999.029                   3998.872
                  3998.786                   3998.781                   3998.856
                  3998.998                   3999.184                   3999.391
                  3999.596                   3999.784                   3999.946
                  4000.082                   4000.191                   4000.275
                  4000.336                   4000.374                   4000.395
                  4000.403                   4000.403                   4000.399
                  4000.399                   4000.406                   4000.424
                  4000.452                   4000.484                   4000.511
                  4000.520                   4000.497                   4000.436
                  4000.334                   4000.196                   4000.032
                  3999.858                   3999.687                   3999.531
                  3999.398                   3999.293                   3999.217
                  3999.169                   3999.147                   3999.149
                  3999.171                   3999.210                   3999.260
                  3999.315                   3999.365                   3999.404
                  3999.418                   3999.400                   3999.340
                  3999.234                   3999.088                   3998.912
                  3998.729                   3998.563                   3998.435
                  3998.359                   3998.339                   3998.372
                  3998.450                   3998.562                   3998.699
                  3998.854                   3999.018                   3999.184
                  3999.347                   3999.500                   3999.638
                  3999.754                   3999.839                   3999.882
                  3999.871                   3999.801                   3999.672
                  3999.504                   3999.321                   3999.154
                  3999.026                   3998.953                   3998.942
                  3998.999                   3999.123                   3999.310
                  3999.546                   3999.814                   4000.088
                  4000.345                   4000.561                   4000.719
                  4000.810                   4000.837                   4000.808
                  4000.741                   4000.654                   4000.564
                  4000.480                   4000.403                   4000.330
                  4000.254                   4000.171                   4000.083
                  3999.992                   3999.901                   3999.817
                  3999.743                   3999.683                   3999.640
                  3999.615                   3999.605                   3999.607
                  3999.616                   3999.621                   3999.611
                  3999.577                   3999.507                   3999.398
                  3999.256                   3999.099                   3998.950
                  3998.836                   3998.779                   3998.789
                  3998.869                   3999.007                   3999.187
                  3999.387                   3999.585                   3999.763
                  3999.904                   3999.998                   4000.043
                  4000.038                   3999.989                   3999.906
                  3999.800                   3999.683                   3999.570
                  3999.472                   3999.400                   3999.360
                  3999.353                   3999.375                   3999.421
                  3999.482                   3999.549                   3999.611
                  3999.660                   3999.688                   3999.696
                  3999.685                   3999.666                   3999.647
                  3999.635                   3999.631                   3999.631
                  3999.630                   3999.617                   3999.585
                  3999.527                   3999.436                   3999.313
                  3999.165                   3999.009                   3998.865
                  3998.748                   3998.667                   3998.622
                  3998.614                   3998.641                   3998.706
                  3998.809                   3998.948                   3999.119
                  3999.313                   3999.520                   3999.730
                  3999.934                   4000.121                   4000.285
                  4000.415                   4000.509                   4000.562
                  4000.575                   4000.552                   4000.499
                  4000.422                   4000.329                   4000.224
                  4000.113                   3999.999                   3999.883
                  3999.765                   3999.643                   3999.513
                  3999.371                   3999.214                   3999.044
                  3998.869                   3998.702                   3998.562
                  3998.469                   3998.443                   3998.493
                  3998.621                   3998.815                   3999.055
                  3999.312                   3999.556                   3999.760
                  3999.905                   3999.984                   4000.002
                  3999.978                   3999.934                   3999.898
                  3999.888                   3999.919                   3999.995
                  4000.110                   4000.253                   4000.408
                  4000.554                   4000.674                   4000.752
                  4000.782                   4000.761                   4000.695
                  4000.596                   4000.475                   4000.346
                  4000.220                   4000.105                   4000.005
                  3999.921                   3999.848                   3999.783
                  3999.717                   3999.645                   3999.564
                  3999.476                   3999.384                   3999.294
                  3999.212                   3999.142                   3999.084
                  3999.035                   3998.988                   3998.937
                  3998.877                   3998.807                   3998.733
                  3998.664                   3998.610                   3998.582
                  3998.586                   3998.624                   3998.691
                  3998.780                   3998.878                   3998.972
                  3999.049                   3999.100                   3999.118
                  3999.102                   3999.059                   3999.000
                  3998.943                   3998.906                   3998.905
                  3998.949                   3999.038                   3999.168
                  3999.327                   3999.502                   3999.686
                  3999.871                   4000.053                   4000.233
                  4000.407                   4000.572                   4000.716
                  4000.828                   4000.894                   4000.906
                  4000.863                   4000.772                   4000.646
                  4000.503                   4000.359                   4000.227
                  4000.119                   4000.037                   3999.983
                  3999.953                   3999.945                   3999.954
                  3999.975                   4000.001                   4000.024
                  4000.033                   4000.018                   3999.971
                  3999.889                   3999.774                   3999.634
                  3999.482                   3999.334                   3999.207
                  3999.113                   3999.061                   3999.055
                  3999.093                   3999.169                   3999.272
                  3999.392                   3999.515                   3999.627
                  3999.717                   3999.775                   3999.797
                  3999.782                   3999.735                   3999.661
                  3999.570                   3999.474                   3999.384
                  3999.310                   3999.259                   3999.232
                  3999.230                   3999.250                   3999.288
                  3999.336                   3999.387                   3999.433
                  3999.464                   3999.475                   3999.462
                  3999.426                   3999.370                   3999.304
                  3999.236                   3999.174                   3999.126
                  3999.096                   3999.084                   3999.090
                  3999.113                   3999.154                   3999.214
                  3999.293                   3999.390                   3999.500
                  3999.615                   3999.724                   3999.819
                  3999.895                   3999.951                   3999.994
                  4000.031                   4000.071                   4000.119
                  4000.177                   4000.243                   4000.313
                  4000.380                   4000.440                   4000.486
                  4000.516                   4000.525                   4000.512
                  4000.476                   4000.418                   4000.337
                  4000.237                   4000.119                   3999.984
                  3999.836                   3999.677                   3999.515
                  3999.356                   3999.209                   3999.080
                  3998.977                   3998.902                   3998.857
                  3998.840                   3998.848                   3998.876
                  3998.922                   3998.981                   3999.052
                  3999.130                   3999.211                   3999.289
                  3999.360                   3999.423                   3999.477
                  3999.526                   3999.577                   3999.634
                  3999.702                   3999.781                   3999.869
                  3999.961                   4000.051                   4000.130
                  4000.191                   4000.228                   4000.238
                  4000.220                   4000.177                   4000.114
                  4000.035                   3999.944                   3999.844
                  3999.735                   3999.614                   3999.481
                  3999.339                   3999.193                   3999.047
                  3998.910                   3998.790                   3998.692
                  3998.622                   3998.583                   3998.577
                  3998.600                   3998.650                   3998.720
                  3998.804                   3998.895                   3998.987
                  3999.076                   3999.165                   3999.254
                  3999.354                   3999.472                   3999.621
                  3999.807                   4000.029                   4000.278
                  4000.539                   4000.790                   4001.008
                  4001.172                   4001.271                   4001.298
                  4001.256                   4001.156                   4001.011
                  4000.839                   4000.656                   4000.475
                  4000.308                   4000.162                   4000.039
                  3999.940                   3999.864                   3999.804
                  3999.755                   3999.707                   3999.652
                  3999.582                   3999.493                   3999.385
                  3999.263                   3999.134                   3999.007
                  3998.887                   3998.778                   3998.681
                  3998.595                   3998.522                   3998.462
                  3998.421                   3998.404                   3998.415
                  3998.461                   3998.542                   3998.655
                  3998.794                   3998.948                   3999.106
                  3999.258                   3999.399                   3999.523
                  3999.634                   3999.732                   3999.820
                  3999.897                   3999.960                   4000.008
                  4000.042                   4000.061                   4000.070
                  4000.073                   4000.071                   4000.066
                  4000.058                   4000.045                   4000.026
                  4000.002                   3999.974                   3999.945
                  3999.920                   3999.901                   3999.893
                  3999.896                   3999.910                   3999.932
                  3999.958                   3999.984                   4000.003
                  4000.012                   4000.010                   3999.997
                  3999.976                   3999.951                   3999.925
                  3999.901                   3999.878                   3999.854
                  3999.825                   3999.789                   3999.742
                  3999.686                   3999.626                   3999.567
                  3999.518                   3999.488                   3999.482
                  3999.506                   3999.564                   3999.654
                  3999.772                   3999.911                   4000.059
                  4000.204                   4000.328                   4000.418
                  4000.459                   4000.444                   4000.371
                  4000.244                   4000.072                   3999.870
                  3999.651                   3999.429                   3999.215
                  3999.017                   3998.838                   3998.681
                  3998.546                   3998.436                   3998.357
                  3998.315                   3998.319                   3998.375
                  3998.482                   3998.636                   3998.826
                  3999.037                   3999.252                   3999.458
                  3999.644                   3999.804                   3999.936
                  4000.040                   4000.117                   4000.162
                  4000.173                   4000.147                   4000.081
                  3999.980                   3999.851                   3999.709
                  3999.569                   3999.448                   3999.360
                  3999.314                   3999.312                   3999.350
                  3999.418                   3999.503                   3999.588
                  3999.658                   3999.704                   3999.720
                  3999.708                   3999.673                   3999.623
                  3999.570                   3999.522                   3999.489
                  3999.476                   3999.490                   3999.533
                  3999.601                   3999.692                   3999.797
                  3999.907                   4000.011                   4000.104
                  4000.178                   4000.231                   4000.262
                  4000.273                   4000.266                   4000.244
                  4000.213                   4000.177                   4000.143
                  4000.113                   4000.089                   4000.071
                  4000.054                   4000.035                   4000.009
                  3999.974                   3999.926                   3999.866
                  3999.796                   3999.720                   3999.647
                  3999.584                   3999.541                   3999.523
                  3999.532                   3999.565                   3999.614
                  3999.669                   3999.718                   3999.748
                  3999.755                   3999.736                   3999.694
                  3999.637                   3999.572                   3999.506
                  3999.442                   3999.383                   3999.329
                  3999.280                   3999.233                   3999.183
                  3999.127                   3999.059                   3998.979
                  3998.888                   3998.791                   3998.698
                  3998.622                   3998.575                   3998.566
                  3998.603                   3998.687                   3998.817
                  3998.983                   3999.176                   3999.380
                  3999.583                   3999.770                   3999.933
                  4000.065                   4000.166                   4000.238
                  4000.285                   4000.315                   4000.334
                  4000.350                   4000.366                   4000.385
                  4000.407                   4000.428                   4000.442
                  4000.443                   4000.427                   4000.392
                  4000.341                   4000.274                   4000.198
                  4000.115                   4000.027                   3999.937
                  3999.844                   3999.751                   3999.658
                  3999.568                   3999.481                   3999.400
                  3999.327                   3999.263                   3999.209
                  3999.166                   3999.133                   3999.111
                  3999.099                   3999.094                   3999.096
                  3999.104                   3999.115                   3999.129
                  3999.144                   3999.156                   3999.168
                  3999.180                   3999.199                   3999.234
                  3999.295                   3999.387                   3999.515
                  3999.675                   3999.856                   4000.042
                  4000.214                   4000.358                   4000.461
                  4000.520                   4000.541                   4000.535
                  4000.515                   4000.491                   4000.470
                  4000.452                   4000.435                   4000.413
                  4000.386                   4000.349                   4000.303
                  4000.248                   4000.183                   4000.107
                  4000.020                   3999.923                   3999.815
                  3999.700                   3999.582                   3999.465
                  3999.356                   3999.258                   3999.175
                  3999.106                   3999.050                   3999.004
                  3998.967                   3998.937                   3998.915
                  3998.903                   3998.903                   3998.921
                  3998.959                   3999.021                   3999.106
                  3999.210                   3999.329                   3999.450
                  3999.566                   3999.666                   3999.743
                  3999.792                   3999.808                   3999.790
                  3999.739                   3999.659                   3999.557
                  3999.447                   3999.342                   3999.259
                  3999.213                   3999.215                   3999.270
                  3999.376                   3999.523                   3999.697
                  3999.880                   4000.056                   4000.214
                  4000.342                   4000.435                   4000.489
                  4000.504                   4000.481                   4000.426
                  4000.345                   4000.245                   4000.132
                  4000.015                   3999.898                   3999.787
                  3999.684                   3999.587                   3999.492
                  3999.396                   3999.294                   3999.183
                  3999.066                   3998.949                   3998.841
                  3998.758                   3998.713                   3998.720
                  3998.790                   3998.923                   3999.115
                  3999.349                   3999.605                   3999.859
                  4000.089                   4000.281                   4000.425
                  4000.521                   4000.573                   4000.588
                  4000.572                   4000.531                   4000.473
                  4000.405                   4000.336                   4000.273
                  4000.219                   4000.176                   4000.141
                  4000.112                   4000.081                   4000.046
                  4000.003                   3999.953                   3999.900
                  3999.846                   3999.797                   3999.753
                  3999.716                   3999.684                   3999.656
                  3999.626                   3999.593                   3999.554
                  3999.504                   3999.445                   3999.376
                  3999.301                   3999.224                   3999.154
                  3999.097                   3999.062                   3999.055
                  3999.077                   3999.125                   3999.192
                  3999.267                   3999.338                   3999.395
                  3999.431                   3999.441                   3999.426
                  3999.386                   3999.329                   3999.260
                  3999.190                   3999.126                   3999.077
                  3999.049                   3999.044                   3999.061
                  3999.092                   3999.130                   3999.166
                  3999.197                   3999.224                   3999.253
                  3999.293                   3999.356                   3999.450
                  3999.579                   3999.739                   3999.921
                  4000.112                   4000.295                   4000.453
                  4000.573                   4000.646                   4000.672
                  4000.654                   4000.599                   4000.516
                  4000.410                   4000.289                   4000.158
                  4000.022                   3999.888                   3999.766
                  3999.663                   3999.590                   3999.552
                  3999.553                   3999.594                   3999.668
                  3999.768                   3999.880                   3999.993
                  4000.094                   4000.172                   4000.220
                  4000.233                   4000.211                   4000.158
                  4000.082                   3999.992                   3999.900
                  3999.816                   3999.749                   3999.707
                  3999.691                   3999.699                   3999.725
                  3999.759                   3999.790                   3999.809
                  3999.808                   3999.783                   3999.732
                  3999.657                   3999.560                   3999.448
                  3999.327                   3999.206                   3999.094
                  3998.998                   3998.925                   3998.878
                  3998.857                   3998.858                   3998.879
                  3998.911                   3998.949                   3998.989
                  3999.029                   3999.067                   3999.105
                  3999.147                   3999.198                   3999.263
                  3999.349                   3999.459                   3999.595
                  3999.753                   3999.926                   4000.107
                  4000.281                   4000.436                   4000.561
                  4000.646                   4000.689                   4000.690
                  4000.657                   4000.597                   4000.519
                  4000.429                   4000.330                   4000.226
                  4000.117                   4000.006                   3999.897
                  3999.794                   3999.704                   3999.634
                  3999.589                   3999.574                   3999.589
                  3999.632                   3999.695                   3999.769
                  3999.843                   3999.903                   3999.938
                  3999.937                   3999.893                   3999.805
                  3999.675                   3999.512                   3999.330
                  3999.146                   3491.000                   3455.000
                  3452.947                   3458.708                   3465.602
                  3474.464                   3485.586                   3497.040
                  3506.383                   3511.587                   3511.225
                  3505.465                   3497.080                   3490.570
                  3489.726                   3495.494                   3505.496
                  3520.004                   3540.893                   3568.500
                  3601.932                   3639.682                   3680.023
                  3721.217                   3761.617                   3799.929
                  3835.185                   3866.749                   3894.187
                  3917.155                   3935.369                   3948.702
                  3957.376                   3962.191                   3964.598
                  3966.366                   3968.932                   3972.876
                  3977.870                   3982.881                   3986.626
                  3987.870                   3985.629                   3979.371
                  3969.128                   3955.513                   3939.689
                  3923.092                   3907.231                   3893.383
                  3882.452                   3874.810                   3870.447
                  3869.010                   3869.912                   3872.449
                  3875.907                   3879.563                   3882.736
                  3884.892                   3885.656                   3884.953
                  3883.023                   3880.399                   3877.810
                  3876.019                   3875.639                   3877.060
                  3880.414                   3885.539                   3892.046
                  3899.391                   3907.005                   3914.371
                  3921.074                   3926.847                   3931.492
                  3934.868                   3936.882                   3937.500
                  3936.827                   3935.123                   3932.816
                  3930.428                   3928.432                   3927.189
                  3926.871                   3927.478                   3928.851
                  3930.778                   3933.067                   3935.608
                  3938.413                   3941.581                   3945.195
                  3949.236                   3953.545                   3957.845
                  3961.776                   3964.994                   3967.196
                  3968.182                   3967.885                   3966.395
                  3963.959                   3960.933                   3957.724
                  3954.687                   3952.055                   3949.899
                  3948.174                   3946.779                   3945.631
                  3944.713                   3944.078                   3943.833
                  3944.076                   3944.853                   3946.129
                  3947.810                   3949.774                   3951.900
                  3954.086                   3956.199                   3958.081
                  3959.514                   3960.240                   3960.017
                  3958.664                   3956.181                   3952.747
                  3948.739                   3944.628                   3940.925
                  3938.062                   3936.346                   3935.944
                  3936.859                   3938.963                   3942.025
                  3945.722                   3949.695                   3953.593
                  3957.077                   3959.890                   3961.857
                  3962.902                   3963.032                   3962.314
                  3960.865                   3958.832                   3956.410
                  3953.837                   3951.384                   3949.305
                  3947.825                   3947.093                   3947.169
                  3948.023                   3949.555                   3951.626
                  3954.080                   3956.775                   3959.573
                  3962.344                   3964.957                   3967.271
                  3969.113                   3970.319                   3970.752
                  3970.351                   3969.162                   3967.340
                  3965.133                   3962.786                   3960.528
                  3958.523                   3956.889                   3955.685
                  3954.940                   3954.633                   3954.729
                  3955.188                   3955.995                   3957.170
                  3958.728                   3960.667                   3962.945
                  3965.481                   3968.159                   3970.830
                  3973.357                   3975.613                   3977.517
                  3979.027                   3980.127                   3980.811
                  3981.070                   3980.882                   3980.221
                  3979.087                   3977.509                   3975.569
                  3973.405                   3971.200                   3969.148
                  3967.414                   3966.090                   3965.180
                  3964.604                   3964.231                   3963.930
                  3963.584                   3963.126                   3962.559
