  -2.6205300e+01  -8.0799900e+00   1.0000000e+00
   1.6488000e+01   3.9360000e+00   2.1999000e+00
  -3.4830000e+00  -4.7659600e+00   1.5000000e+00
   3.5400000e+01   7.9904000e+00   1.2000000e+00
   1.3212000e+01   1.1593000e+00   1.3000000e+00
   6.5530000e+00  -2.1299000e+00   2.2000000e+00
   1.8801000e+01   5.2323000e+00   1.4001000e+00
   1.7690000e+01   3.9454000e+00   2.2001000e+00
   8.8140000e+00   1.0938000e+00   1.9999000e+00
   1.1043000e+01   1.2311000e+00   1.2000000e+00
   2.2250000e+00   1.3217000e+00   1.3999100e+00
  -3.3290000e+00  -3.7320000e+00   1.5000000e+00
   2.6648000e+01   5.1323000e+00   1.1999100e+00
   3.2178000e+01   6.6660000e+00   1.3000000e+00
   2.9950000e+01   5.9726000e+00   1.4001000e+00
   3.8741000e+01   7.1593000e+00   2.1998100e+00
  -1.0169000e+01  -6.3215800e+00   2.1998100e+00
   4.2390000e+00   1.0623000e+00   2.0999000e+00
   6.0860000e+01   9.5364000e+00   2.1999000e+00
   5.6214000e+01   9.5771000e+00   1.9999000e+00
   2.7212000e+01   7.9558000e+00   2.0000000e+00
   7.1960000e+00   3.8922000e+00   1.4000000e+00
   6.4987000e+01   8.1371000e+00   1.2999100e+00
   5.9399000e+01   9.0492000e+00   1.9999000e+00
   4.8285000e+01   9.2209000e+00   1.9999000e+00
   6.2722000e+01   1.1623100e+01   1.3999100e+00
  -3.9573900e+01  -9.4980900e+00   1.1000000e+00
   5.9299000e+01   1.0620200e+01   1.9999000e+00
  -4.4067600e+01  -1.0497600e+01   1.2999100e+00
   8.5853000e+01   1.2253900e+01   2.0999000e+00
   5.8994000e+01   8.4090000e+00   1.9999000e+00
