-72.8	16.1333	51	145.23
-70.95	14.6	50	148.609
-76.9167	13.2	71	134.164
-74.8833	14	56	140.156
-72.5667	14.55	57	145.061
-69.7667	14.1667	65	148.53
-71.083	14.217	57	148.545
-70.8333	14.6333	42	148.68
-67.6167	13.7833	56	149.502
-77.2333	14.45	116	134.529
-74.4833	16.2833	42	141.385
-72.9167	17.1333	49	145.079
-72.2167	17.5667	51	146.52
-21.6833	34.45	64	94.3372
-25.7167	31.25	61	92.2062
-21.8	42.1167	58	50.3744
-22.9833	33.5	55	91.8752
-24.4667	31.5167	54	96.3784
-23.4667	46.5	30	25.7196
-30	52.35	114	9.5125
-70.3333	16.2667	50	146.64
-23.85	41.8	33	38.765
-68.6667	16.8333	71	143.04
-29.3333	33.9333	48	50.9203
-69.1833	15.3833	53	147.093
-65.9333	13.55	61	151.169
-28.5333	59.6167	52	7.04491
-28.75	59.7333	58	5.13462
-28.9667	59.7917	34	3.67981
-29.1333	59.875	281	2.25539
-29.2667	59.8833	62	1.56758
-59.6333	14.3	59	94.8498
-58.4167	14.2333	30	88.1703
-57.4	14.2167	65	84.0999
-52.55	14.3	61	49.2819
-50.6667	14.25	39	39.9302
-47.0333	13.9	50	15.4998
-46.1333	13.35	106	9.07415
-42.85	13.2667	13	15.7331
-43.9	13.3833	69	8.22436
-44.6333	13.4	175	2.13028
-45.4	13.3667	80	3.58
-44.5667	12.9667	460	2.34976
-44.7667	12.95	97	0.688525
-45.9667	13	16	8.07026
-46.9167	13.0333	68	14.6852
-49.75	13.0667	35	39.4859
-51.3167	13.1	57	50.6539
-54.25	12.25	56	82.7966
-44.1667	10.8333	121	17.4841
-44.6333	10.3667	39	25.8696
-42.9333	10.8	126	7.65982
-42.7833	9.6	98	14.7691
-41.8333	9.8167	18	8.03661
-42.7167	11.5333	55	8.03162
-46.1667	11.95	28	17.6659
-48.4167	11.9	67	37.8234
-59.1167	18.05	56	76.5758
-44.8667	10.5667	20	27.3003
-44.1333	10.9167	124	8.33024
-44.1333	10.85	135	14.9839
-42.8333	11.0833	22	7.04583
-42.85	10.3667	212	13.78
-40.5667	10	181	2.04973
-41.2833	11.1	43	17.8708
