PDE-W 2007 09 28 133859.55 22.00 142.65 276 7.40 Mw S 8488
PDE-W 2007 10 31 033017.66 18.90 145.36 223 7.20 Mw S 8660
PDE-W 2007 11 29 190019.65 14.97 -61.26 147 7.40 Mw S 6704
PDE-Q 2007 12 19 093027.18 51.37 -179.55 29 7.10 Ms GS 3950
PDE 2007 01 21 112745.06 1.07 126.28 22 7.50 Mw CMT 11341
PDE-W 2007 09 30 020830.17 10.45 145.72 14 7.10 Ms GS 9469
PDE 2007 01 13 042321.16 46.24 154.52 10 8.20 Ms GS 5636
