                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   01 14 002342.82  47.54  155.61  10 5.00 mb GS    5471
 PDE   2007   01 14 004736.53   4.59  126.18  35 5.00 mb GS   10991
 PDE   2007   01 14 025751.87  45.69  154.02  10 5.10 mb GS    5708
 PDE   2007   01 14 140800.68 -28.68   74.18  10 5.00 mb GS   16187
 PDE   2007   01 14 154405.71  46.07  154.51  10 5.10 mb GS    5652
 PDE   2007   01 15 011818.46  46.11  154.49  10 5.00 mb GS    5650
 PDE   2007   01 15 064947.86 -41.25  -86.96  10 5.20 Mw CMT  11753
 PDE   2007   01 15 075811.99 -60.92  -34.07  10 5.50 Mw CMT  15263
 PDE   2007   01 15 081752.56 -62.24  154.90  10 5.40 Mw CMT  15740
 PDE   2007   01 15 083449.04 -61.35  -34.25  10 5.00 mb GS   15292
 PDE   2007   01 15 101129.50   8.78  -39.74  10 5.20 Mw CMT   8368
 PDE   2007   01 15 112433.21  35.32   65.49  10 5.00 mb GS    9171
 PDE   2007   01 15 181759.25  34.89  138.64 170 5.90 Mw S     7417
 PDE   2007   01 15 190241.46 -21.70  170.46  94 5.20 Mw CMT  11366
 PDE   2007   01 15 205944.63   5.72  126.53  55 5.10 mb GS   10861
 PDE   2007   01 15 211940.06  -4.61 -105.14  10 5.60 Mw S     7479
 PDE   2007   01 16 001437.34  -4.74 -106.11  10 5.30 Mw CMT   7485
 PDE   2007   01 16 015312.11 -15.18 -174.36  35 5.10 Mw CMT  10026
 PDE   2007   01 16 031037.11  24.00  122.49  35 5.40 ML AP    9183
 PDE   2007   01 16 121813.18  -3.45  148.95  35 5.00 Mw CMT  10666
 PDE   2007   01 16 125236.96  41.18  142.71  29 5.20 mb GS    6635
 PDE   2007   01 16 180618.14   2.61  126.24  64 5.60 Mw CMT  11188
 PDE   2007   01 16 192551.55  46.92  155.96  10 5.10 mb GS    5509
 PDE   2007   01 17 042826.66  -3.32  139.83 100 6.00 Mw S    11119
 PDE   2007   01 17 060339.56 -56.14 -143.71  10 5.20 Mw CMT  13383
 PDE   2007   01 17 075840.97   1.98   89.69  10 5.00 mb GS   12567
 PDE   2007   01 17 094550.36  45.92  154.39  11 5.40 mb GS    5671
 PDE   2007   01 17 160846.20 -16.63  -73.38  41 5.20 mb GS    9473
 PDE   2007   01 17 183414.93 -57.91  -64.53   6 5.60 mb GS   14018
 PDE   2007   01 17 231849.80  10.12   58.71   8 6.20 Mw CMT  11936
 PDE   2007   01 18 033414.20 -39.56  175.86  51 5.30 ML EL   12872
 PDE   2007   01 18 054051.29   9.63  126.23  87 5.20 mb GS   10481
 PDE   2007   01 18 152718.32  -5.49  101.45  17 5.90 Mw S    13025
 PDE   2007   01 18 223236.33  22.33  -45.09  10 5.20 Mw CMT   6780
 PDE   2007   01 19 014314.07  12.99  -89.13  55 5.40 Mw CMT   5854
 PDE   2007   01 19 024423.42  -9.99  109.67  25 5.90 mb GS   13186
 PDE   2007   01 19 144631.84 -32.33 -177.82  10 5.10 mb GS   11898
 PDE   2007   01 19 144727.38  -9.57 -109.45  10 5.20 Mw CMT   7996
 PDE   2007   01 20 024550.07  -5.53  130.43 139 5.90 mb GS   11802
 PDE   2007   01 20 062104.56 -55.42  -29.53  10 6.20 Ms GS   14983
 PDE   2007   01 21 073857     39.59   42.86   3 5.20 Mw CMT   8519
 PDE   2007   01 21 112745.06   1.07  126.28  22 7.50 Mw CMT  11341
 PDE   2007   01 21 114454.33 -11.37  166.33 110 5.10 mb GS   10552
 PDE   2007   01 21 114559.83   1.00  125.90  10 5.40 mb GS   11366
 PDE   2007   01 21 114733.04   1.14  126.26  10 5.30 mb GS   11335
 PDE   2007   01 21 115411.21   0.95  125.89  10 5.60 mb GS   11370
 PDE   2007   01 21 120208.08   1.14  126.12  10 5.20 mb GS   11341
 PDE   2007   01 21 121045.73   1.01  126.06  10 5.20 mb GS   11357
 PDE   2007   01 21 121807.94   0.95  126.12  10 5.10 mb GS   11360
 PDE   2007   01 21 123235.17   1.10  126.03  10 5.50 mb GS   11350
 PDE   2007   01 21 130832.33   0.88  126.11  10 5.00 mb GS   11367
 PDE   2007   01 21 131507.85   1.00  126.01  10 5.10 mb GS   11360
 PDE   2007   01 21 132156.66   1.11  126.45  10 5.00 mb GS   11329
 PDE   2007   01 21 134352.79   0.96  126.21  10 5.10 mb GS   11355
 PDE   2007   01 21 135308.38  21.36 -106.30  10 5.30 MD NM    4612
 PDE   2007   01 21 135516.59   1.11  126.40  10 5.40 mb GS   11331
 PDE   2007   01 21 141140.09   1.27  126.29  10 5.10 mb GS   11320
 PDE   2007   01 21 142749.42   0.90  126.00  10 5.40 mb GS   11370
 PDE   2007   01 21 143554.89   1.20  125.99  10 5.00 mb GS   11341
 PDE   2007   01 21 143918.15   1.04  125.97  10 5.50 mb GS   11358
 PDE   2007   01 21 150316.37 -55.76  -27.02  47 5.60 mb GS   15117
 PDE   2007   01 21 150411.35   1.00  125.93  10 5.30 mb GS   11364
 PDE   2007   01 21 151236.39   1.01  126.04  10 5.10 mb GS   11357
 PDE   2007   01 21 152917.23   1.08  126.17  10 5.10 mb GS   11345
 PDE   2007   01 21 173255.52   1.06  126.35  23 6.20 Mw CMT  11339
 PDE   2007   01 21 173711.75   1.04  126.40  10 5.20 mb GS   11338
 PDE   2007   01 21 195050.26   1.04  125.85  10 5.50 mb GS   11363
 PDE   2007   01 21 195950.29   1.01  126.31  10 5.20 mb GS   11345
 PDE   2007   01 21 202720.30   1.34  127.21  10 5.00 mb GS   11271
 PDE   2007   01 21 205239.18   1.11  126.33  10 5.00 mb GS   11334
 PDE   2007   01 21 210301.08   1.08  125.88  10 5.30 Mw CMT  11358
 PDE   2007   01 21 212142.73   1.01  125.97  10 5.00 mb GS   11360
 PDE   2007   01 21 222115.27   0.99  126.28  10 5.10 Mw CMT  11349
 PDE   2007   01 21 234509.23   1.02  126.26  10 5.50 mb GS   11346
 PDE   2007   01 22 002251.70   0.94  126.09  10 5.40 mb GS   11362
 PDE   2007   01 22 003319.81   0.95  126.07  10 5.00 mb GS   11363
 PDE   2007   01 22 010640.69   0.98  126.26  10 5.20 mb GS   11351
 PDE   2007   01 22 042707.83  -2.55  136.34  35 5.70 Mw CMT  11217
 PDE   2007   01 22 043318.88  -2.50  136.33  35 5.90 Mw CMT  11213
